floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
2,5,3,70.1,21999999,Коптево,бульвар Матроса Железняка,10,Коптево,317508591
2,19,3,186.0,220000000,Раменки,Ломоносовский проспект,25к5,Университет,245277094
14,14,3,93.6,70200000,Даниловский, Архитектора Щусева,2к1,ЗИЛ,314194751
2,6,3,125.0,130000000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,312897522
27,41,3,79.0,71000000,Раменки,Парклэйн тер.,к2,Кутузовская,311733777
9,32,3,88.0,45400000,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,316584477
8,16,3,173.1,148000000,Арбат,1-й Смоленский переулок,17,Смоленская,316776707
7,9,3,160.8,247103480,Тверской,1-я Тверская-Ямская ,2А,Маяковская,316587126
12,12,3,62.7,12500000,Можайский, Говорова,15,Сетунь,316132826
2,13,3,120.0,160000000,Пресненский,2-я Черногрязская ,6к2,Улица 1905 года,303584027
12,16,3,64.4,18800000,Ивановское, Сталеваров,24,Новогиреево,314331919
15,21,3,85.0,120000000,Пресненский,Мантулинская ,9к5,Москва-Сити,317139302
19,23,3,146.9,95000000,Очаково-Матвеевское,Староволынская ,12к3,Матвеевская,315558354
4,12,3,66.2,16500000,Ярославский,Ярославское шоссе,8К2,Ботанический сад,316612249
14,17,3,74.5,17700000,Ново-Переделкино,Боровское шоссе,46,Новопеределкино,315529190
5,8,1,31.0,10997000,Свиблово, Седова,3,Ботанический сад,308708418
1,5,1,33.7,10900000,Преображенское,2-я Пугачевская ,10К2,Преображенская площадь,311376484
1,5,1,30.5,10990000,Измайлово,11-я Парковая ,39К1,Первомайская,315879326
1,10,1,33.0,12200000,Сокол,Малый Песчаный переулок,6,Сокол,314791001
2,9,1,29.8,10700000,Преображенское,Халтуринская ,17,Преображенская площадь,312464548
5,15,1,36.3,10500000,Молжаниновский,Ленинградское шоссе,228к4,Молжаниново,314529859
2,5,1,31.0,10500000,Перово, Плющева,16,Перово,315285325
1,5,2,58.8,24400000,Таганский,Таганская ,24С5,Марксистская,306015204
2,41,2,69.3,44700000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,315696382
7,26,2,53.2,31884320,Очаково-Матвеевское,Нежинская ,3А,Матвеевская,312970614
5,6,2,100.0,75000000,Замоскворечье,Большая Пионерская ,20,Павелецкая,317204131
10,67,2,69.6,76000000,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,314848971
22,78,2,169.5,136790000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,315742208
6,9,2,40.0,13200000,Гольяново,Байкальская ,15,Щёлковская,314512206
6,7,2,50.0,30300000,Дорогомилово,Кутузовский проспект,24,Москва-Сити,316881217
6,12,2,59.3,34000000,Лефортово,проезд Шелихова,3,Площадь Ильича,316256052
10,21,2,82.0,45000000,Останкинский, Академика Королева,10,Улица Академика Королёва,314383482
2,8,2,61.5,55300000,Таганский,Серебрянический переулок,8,Китай-город,314304114
6,6,2,100.0,75000000,Замоскворечье,Большая Пионерская ,20,Павелецкая,312575065
9,68,2,92.0,105000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,306652887
8,12,2,47.3,25800000,Тверской,Тихвинская ,9А,Менделеевская,317507438
4,8,2,77.0,53000000,Хамовники,Саввинская набережная,3,Киевская,317210032
14,24,2,46.0,31000000,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,299655879
3,11,2,78.0,35500000,Лефортово, Крузенштерна,6,Серп и Молот,309550008
